transaction_id,amount,category,description,transaction_date,merchant,transaction_type
1,5000,Income,Monthly salary,2024-01-01T00:00:00+00:00,Employer,Credit
2,200,Groceries,Weekly grocery shopping,2024-01-02T00:00:00+00:00,Local Supermarket,Debit
3,100,Shopping,Electronics purchase,2024-01-03T00:00:00+00:00,Online Store,Debit
4,80,Dining Out,Lunch with colleagues,2024-01-04T00:00:00+00:00,Local Restaurant,Debit
5,50,Transportation,Fuel for car,2024-01-05T00:00:00+00:00,Local Gas Station,Debit
6,300,Investment,Stocks investment,2024-01-06T00:00:00+00:00,Investment Firm,Debit
7,200,Healthcare,Doctor's visit copay,2024-01-07T00:00:00+00:00,Medical Clinic,Debit
8,150,Groceries,Weekly shopping,2024-01-08T00:00:00+00:00,Local Market,Debit
9,80,Dining Out,Dinner with family,2024-01-09T00:00:00+00:00,Local Restaurant,Debit
10,100,Utilities,Electricity bill payment,2024-01-10T00:00:00+00:00,Utility Company,Debit
11,500,Income,Freelance work payment,2024-01-11T00:00:00+00:00,Client,Credit
12,70,Shopping,Clothing purchase,2024-01-12T00:00:00+00:00,Retail Store,Debit
13,50,Groceries,Weekly shopping,2024-01-13T00:00:00+00:00,Local Supermarket,Debit
14,30,Entertainment,Movie night,2024-01-14T00:00:00+00:00,Local Cinema,Debit
15,200,Healthcare,Dental checkup copay,2024-01-15T00:00:00+00:00,Dental Clinic,Debit
16,500,Income,Monthly salary,2024-01-16T00:00:00+00:00,Employer,Credit
17,40,Groceries,Weekly shopping,2024-01-17T00:00:00+00:00,Local Market,Debit
18,150,Transportation,Monthly public transportation pass,2024-01-18T00:00:00+00:00,Transit Authority,Debit
19,100,Healthcare,Prescription medicines,2024-01-19T00:00:00+00:00,Local Pharmacy,Debit
20,50,Dining Out,Lunch with friends,2024-01-20T00:00:00+00:00,Cafe,Debit
21,500,Income,Freelance work payment,2024-01-21T00:00:00+00:00,Client,Credit
22,200,Groceries,Weekly shopping,2024-01-22T00:00:00+00:00,Local Supermarket,Debit
23,80,Dining Out,Dinner with family,2024-01-23T00:00:00+00:00,Local Restaurant,Debit
24,50,Groceries,Weekly shopping,2024-01-24T00:00:00+00:00,Local Market,Debit
25,100,Utilities,Internet bill payment,2024-01-25T00:00:00+00:00,Internet Provider,Debit
26,500,Income,Monthly salary,2024-01-26T00:00:00+00:00,Employer,Credit
27,70,Shopping,Clothing purchase,2024-01-27T00:00:00+00:00,Retail Store,Debit
28,200,Transportation,Monthly fuel expenses,2024-01-28T00:00:00+00:00,Local Gas Station,Debit
29,150,Groceries,Weekly shopping,2024-01-29T00:00:00+00:00,Local Supermarket,Debit
30,100,Healthcare,Doctor's visit copay,2024-01-30T00:00:00+00:00,Medical Clinic,Debit
31,500,Income,Freelance work payment,2024-01-31T00:00:00+00:00,Client,Credit
32,200,Groceries,Weekly shopping,2024-02-01T00:00:00+00:00,Local Supermarket,Debit
33,100,Shopping,Clothing purchase,2024-02-02T00:00:00+00:00,Retail Store,Debit
34,80,Dining Out,Lunch with colleagues,2024-02-03T00:00:00+00:00,Local Restaurant,Debit
35,50,Transportation,Fuel for car,2024-02-04T00:00:00+00:00,Local Gas Station,Debit
36,300,Investment,Stocks investment,2024-02-05T00:00:00+00:00,Investment Firm,Debit
37,200,Healthcare,Doctor's visit copay,2024-02-06T00:00:00+00:00,Medical Clinic,Debit
38,150,Groceries,Weekly shopping,2024-02-07T00:00:00+00:00,Local Market,Debit
